Timestamp,CPU Usage (%),Memory Usage (%),Memory Used (GB),Memory Total (GB)
2025-05-13 23:10:43,10.6,38.3,12.02,31.35
2025-05-13 23:10:48,3.6,38.4,12.04,31.35
2025-05-13 23:10:53,5.2,38.2,11.98,31.35
2025-05-13 23:10:58,4.6,38.2,11.99,31.35
2025-05-13 23:11:03,7.0,38.2,11.99,31.35
2025-05-13 23:11:08,13.1,38.4,12.05,31.35
2025-05-13 23:11:13,7.0,38.4,12.02,31.35
2025-05-13 23:11:18,2.7,38.4,12.02,31.35
2025-05-13 23:11:23,5.2,38.5,12.08,31.35
2025-05-13 23:11:28,7.6,38.4,12.03,31.35
2025-05-13 23:11:33,5.4,38.4,12.04,31.35
2025-05-13 23:11:38,4.9,38.4,12.04,31.35
2025-05-13 23:11:43,3.5,38.4,12.03,31.35
2025-05-13 23:11:48,8.2,38.4,12.04,31.35
2025-05-13 23:12:11,7.3,38.4,12.03,31.35
2025-05-13 23:12:16,2.4,38.4,12.04,31.35
2025-05-13 23:12:21,4.4,38.2,11.98,31.35
2025-05-13 23:12:26,5.2,38.2,11.96,31.35
2025-05-13 23:12:31,11.6,38.2,11.98,31.35
2025-05-13 23:12:36,6.6,38.2,11.96,31.35
2025-05-13 23:12:41,4.5,38.2,11.97,31.35
2025-05-13 23:12:46,3.7,38.2,11.99,31.35
