category,isbn,author_first_name,author_last_name,author_bio_paragraph,chapter_title,chapter_content_paragraph,publisher_name,publisher_city,publisher_country,book_title
fiction,978-1234567890,John,Doe,John Doe is a renowned author with a passion for storytelling.,Chapter 1: The Beginning,It was a dark and stormy night when our story began.,Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,John Doe is a renowned author with a passion for storytelling.,Chapter 1: The Beginning,"The wind howled through the trees, setting the stage for an unforgettable adventure.",Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Chapter 1: The Beginning,It was a dark and stormy night when our story began.,Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Chapter 1: The Beginning,"The wind howled through the trees, setting the stage for an unforgettable adventure.",Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,John Doe is a renowned author with a passion for storytelling.,Chapter 2: The Journey,Our heroes set out on a perilous journey across treacherous lands.,Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,John Doe is a renowned author with a passion for storytelling.,Chapter 2: The Journey,Little did they know the challenges that awaited them beyond the horizon.,Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Chapter 2: The Journey,Our heroes set out on a perilous journey across treacherous lands.,Book Publishers Inc.,New York,USA,The Great Novel
fiction,978-1234567890,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Chapter 2: The Journey,Little did they know the challenges that awaited them beyond the horizon.,Book Publishers Inc.,New York,USA,The Great Novel
non-fiction,978-0987654321,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Chapter 1: Introduction to XML,XML has become an essential part of modern data management.,Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Chapter 1: Introduction to XML,"In this chapter, we explore the basics and history of XML.",Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Her work has revolutionized how we think about organizing information.,Chapter 1: Introduction to XML,XML has become an essential part of modern data management.,Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Her work has revolutionized how we think about organizing information.,Chapter 1: Introduction to XML,"In this chapter, we explore the basics and history of XML.",Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Chapter 2: Advanced XML Techniques,Delve into the intricacies of XML schemas and transformations.,Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Chapter 2: Advanced XML Techniques,Learn how to leverage XML for complex data structures and integrations.,Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Her work has revolutionized how we think about organizing information.,Chapter 2: Advanced XML Techniques,Delve into the intricacies of XML schemas and transformations.,Tech Books Co.,San Francisco,USA,The Art of XML
non-fiction,978-0987654321,Jane,Smith,Her work has revolutionized how we think about organizing information.,Chapter 2: Advanced XML Techniques,Learn how to leverage XML for complex data structures and integrations.,Tech Books Co.,San Francisco,USA,The Art of XML
mystery,978-5678901234,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Chapter 1: The Mysterious Letter,Detective Sarah Blake stared at the cryptic message on her desk.,Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Chapter 1: The Mysterious Letter,"Little did she know, this letter would lead her into a web of international espionage.",Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Her mysteries have captivated readers around the globe.,Chapter 1: The Mysterious Letter,Detective Sarah Blake stared at the cryptic message on her desk.,Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Her mysteries have captivated readers around the globe.,Chapter 1: The Mysterious Letter,"Little did she know, this letter would lead her into a web of international espionage.",Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Chapter 2: Decoding the Past,"As Sarah delved deeper into the case, she uncovered a decades-old conspiracy.",Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Chapter 2: Decoding the Past,"The truth, she realized, was hidden in plain sight all along.",Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Her mysteries have captivated readers around the globe.,Chapter 2: Decoding the Past,"As Sarah delved deeper into the case, she uncovered a decades-old conspiracy.",Mystery House Publishing,London,UK,The Enigma Code
mystery,978-5678901234,Emily,Johnson,Her mysteries have captivated readers around the globe.,Chapter 2: Decoding the Past,"The truth, she realized, was hidden in plain sight all along.",Mystery House Publishing,London,UK,The Enigma Code
